fecha,clae6,puestos
2007-01-01,170201,2619
2007-01-01,170202,7746
2007-01-01,170910,5382
2007-01-01,170990,8160
2007-01-01,181101,5093
2007-01-01,181109,16096
2007-01-01,181200,4995
2007-01-01,182000,117
2007-01-01,191000,181
2007-01-01,192000,6934
2007-01-01,201110,1545
2007-01-01,201120,1035
2007-01-01,201130,891
2007-01-01,201180,881
2007-01-01,201190,1995
2007-01-01,201210,387
2007-01-01,201220,154
2007-01-01,201300,592
2007-01-01,201401,2530
2007-01-01,201409,1293
2007-01-01,202101,4535
2007-01-01,202200,6336
2007-01-01,202311,2022
2007-01-01,202312,6050
2007-01-01,202320,9077
2007-01-01,202906,523
2007-01-01,202907,1081
2007-01-01,202908,13926
2007-01-01,203000,245
2007-01-01,204000,136
2007-01-01,210010,25718
2007-01-01,210020,2579
2007-01-01,210030,691
2007-01-01,210090,1565
2007-01-01,221110,3847
2007-01-01,221120,1046
2007-01-01,221901,1996
2007-01-01,221909,5480
2007-01-01,222010,16923
2007-01-01,222090,31396
2007-01-01,231010,2912
2007-01-01,231020,1060
2007-01-01,231090,2580
2007-01-01,239100,596
2007-01-01,239201,2604
2007-01-01,239202,4003
2007-01-01,239209,1752
2007-01-01,239310,1904
2007-01-01,239391,766
2007-01-01,239399,794
2007-01-01,239410,2571
2007-01-01,239421,221
2007-01-01,239422,2203
2007-01-01,239510,1181
2007-01-01,239591,2047
2007-01-01,239592,5047
2007-01-01,239593,1621
2007-01-01,239600,2110
2007-01-01,239900,4332
2007-01-01,241001,1636
2007-01-01,241009,24482
2007-01-01,242010,2637
2007-01-01,242090,1862
2007-01-01,243100,4893
2007-01-01,243200,4593
2007-01-01,251101,9147
2007-01-01,251102,10396
2007-01-01,251200,3970
2007-01-01,251300,126
2007-01-01,252000,261
2007-01-01,259100,5573
2007-01-01,259200,3665
2007-01-01,259301,1372
2007-01-01,259302,739
2007-01-01,259309,2313
2007-01-01,259910,4265
2007-01-01,259991,501
2007-01-01,259992,140
2007-01-01,259993,13179
2007-01-01,259999,27846
2007-01-01,261000,511
2007-01-01,262000,1795
2007-01-01,263000,844
2007-01-01,264000,3775
2007-01-01,265101,2031
2007-01-01,265102,871
2007-01-01,265200,92
2007-01-01,266010,717
2007-01-01,266090,2282
2007-01-01,267001,1520
2007-01-01,267002,17
2007-01-01,268000,-99
2007-01-01,271010,4861
2007-01-01,271020,3397
2007-01-01,272000,1800
2007-01-01,273110,31
2007-01-01,273190,2466
2007-01-01,274000,1690
2007-01-01,275010,3981
2007-01-01,275020,2901
